station_name,lat,lon,alt_m,model_level,model_pressure_hPa,model_height_m
1035A,37.8911,114.3524,553.44,19,932.029541015625,19
1280A,26.0543,119.3903,427.48,21,957.899169921875,21
1344A,28.3611,112.9581,147.84,21,974.5391235351562,21
1414A,29.8279,106.3787,918.62,18,898.7892456054688,18
1417A,29.7228,106.6263,452.09,21,940.619140625,21
1425A,29.7166,106.6205,435.09,21,943.8191528320312,21
1438A,31.0201,103.6202,1092.73,20,882.830322265625,20
1439A,26.5998,106.6899,1279.02,21,853.2591552734375,21
1451A,24.9608,102.6251,2345.06,19,757.6295166015625,19
1477A,35.9454,104.1373,1970.71,21,797.5791625976562,21
1614A,24.9604,118.6117,332.69,20,964.1102905273438,20
1772A,43.8622,126.54,281.8,21,961.09912109375,21
1810A,29.5698,115.9773,1162.6,18,874.1492309570312,18
1905A,30.8064,106.056,425.26,21,947.6591186523438,21
1930A,34.3063,107.185,843.84,21,902.2191162109375,21
2165A,35.546,112.8453,892.03,21,893.899169921875,21
2209A,42.0705,121.6673,254.51,21,961.7391357421875,21
2331A,26.6761,118.0966,1215.07,17,869.2468872070312,17
2428A,32.395,111.0419,860.83,21,907.9791259765625,21
2447A,29.8142,114.3175,168.24,21,976.4591674804688,21
2642A,32.6537,109.0318,525.71,21,935.4991455078125,21
2660A,35.7289,107.6831,1379.91,21,846.859130859375,21
2914A,31.8794,106.7677,649.93,21,923.9791259765625,21
3014A,29.5346,106.4958,350.0,21,952.13916015625,21
3015A,29.5728,106.4037,520.9,21,941.899169921875,21
3439A,43.8004,87.7024,955.39,21,893.2591552734375,21
